Year,Gender,Cohort,State,drivers_sum
1994,Female,16-19,Alabama,86956
1994,Female,16-19,Alaska,9268
1994,Female,16-19,Arizona,113864
1994,Female,16-19,Arkansas,48283
1994,Female,16-19,California,366584
1994,Female,16-19,Colorado,65991
1994,Female,16-19,Connecticut,47883
1994,Female,16-19,Delaware,13813
1994,Female,16-19,District of Columbia,3779
1994,Female,16-19,Florida,196820
1994,Female,16-19,Georgia,147880
1994,Female,16-19,Hawaii,16767
1994,Female,16-19,Idaho,32047
1994,Female,16-19,Illinois,212464
1994,Female,16-19,Indiana,92881
1994,Female,16-19,Iowa,62448
1994,Female,16-19,Kansas,60201
1994,Female,16-19,Kentucky,67646
1994,Female,16-19,Louisiana,70320
1994,Female,16-19,Maine,21564
1994,Female,16-19,Maryland,65019
1994,Female,16-19,Massachusetts,75527
1994,Female,16-19,Michigan,198143
1994,Female,16-19,Minnesota,76391
1994,Female,16-19,Mississippi,55164
1994,Female,16-19,Missouri,91869
1994,Female,16-19,Montana,19501
1994,Female,16-19,Nebraska,39404
1994,Female,16-19,Nevada,22727
1994,Female,16-19,New Hampshire,22106
1994,Female,16-19,New Jersey,102616
1994,Female,16-19,New Mexico,31643
1994,Female,16-19,New York,185452
1994,Female,16-19,North Carolina,108272
1994,Female,16-19,North Dakota,14879
1994,Female,16-19,Ohio,189104
1994,Female,16-19,Oklahoma,71237
1994,Female,16-19,Oregon,66511
1994,Female,16-19,Pennsylvania,148827
1994,Female,16-19,Rhode Island,15543
1994,Female,16-19,South Carolina,63978
1994,Female,16-19,South Dakota,18693
1994,Female,16-19,Tennessee,94376
1994,Female,16-19,Texas,292733
1994,Female,16-19,Utah,62818
1994,Female,16-19,Vermont,12020
1994,Female,16-19,Virginia,110997
1994,Female,16-19,Washington,91001
1994,Female,16-19,West Virginia,32755
1994,Female,16-19,Wisconsin,101595
1994,Female,16-19,Wyoming,12212
1994,Female,20-24,Alabama,142244
1994,Female,20-24,Alaska,19385
1994,Female,20-24,Arizona,122117
1994,Female,20-24,Arkansas,80509
1994,Female,20-24,California,858524
1994,Female,20-24,Colorado,115121
1994,Female,20-24,Connecticut,88909
1994,Female,20-24,Delaware,22544
1994,Female,20-24,District of Columbia,14783
1994,Female,20-24,Florida,415940
1994,Female,20-24,Georgia,264886
1994,Female,20-24,Hawaii,30603
1994,Female,20-24,Idaho,40060
1994,Female,20-24,Illinois,337172
1994,Female,20-24,Indiana,176563
1994,Female,20-24,Iowa,81419
1994,Female,20-24,Kansas,77870
1994,Female,20-24,Kentucky,119587
1994,Female,20-24,Louisiana,122925
1994,Female,20-24,Maine,41552
1994,Female,20-24,Maryland,132328
1994,Female,20-24,Massachusetts,177433
1994,Female,20-24,Michigan,305388
1994,Female,20-24,Minnesota,92218
1994,Female,20-24,Mississippi,82031
1994,Female,20-24,Missouri,147462
